fecha,cita,resumen
2025-03-19," Mt 1,16.18-21.24a","«Su madre, María, estaba desposada con José» Hoy, nos invita la Iglesia a contemplar la amable figura del santo Patriarc..."
2025-03-20," Lc 16,19-31","«Si no oyen a Moisés y a los profetas, tampoco se convencerán, aunque un muerto resucite» Hoy, el Evangelio es una paráb..."
2025-03-21," Mt 21,33-43.45-46","«La piedra que los constructores desecharon, en piedra angular se ha convertido» Hoy, Jesús, por medio de la parábola de..."
2025-03-22," Lc 15,1-3.11-32","«Me levantaré, iré a mi padre y le diré: Padre, pequé contra el cielo y ante ti» Hoy vemos la misericordia, la nota dist..."
2025-03-23," Lc 13,1-9","«Si no os convertís, todos pereceréis del mismo modo» Hoy, tercer domingo de Cuaresma, la lectura evangélica contiene un..."
2025-03-24," Lc 4,24-30","«Ningún profeta es bien recibido en su patria» Hoy, en el Evangelio, Jesús nos dice «que ningún profeta es bien recibido..."
2025-03-25," Lc 1,26-38","«Alégrate, llena de gracia» Hoy, en el «alégrate, llena de gracia» (Lc 1,28) oímos por primera vez el nombre de la Madre..."
2025-03-26," Mt 5,17-19","«No penséis que he venido a abolir la Ley y los Profetas (...), sino a dar cumplimiento» Hoy día hay mucho respeto por l..."
2025-03-27," Lc 11,14-23","«Si por el dedo de Dios expulso yo los demonios, es que ha llegado a vosotros el Reino de Dios» Hoy, en la proclamación ..."
2025-03-28," Mc 12,28b-34","«No existe otro mandamiento mayor que éstos» Hoy, la liturgia cuaresmal nos presenta el amor como la raíz más profunda d..."
2025-03-29," Lc 18,9-14","«Os digo que éste bajó a su casa justificado» Hoy, Cristo se nos presenta con dos hombres que, ante un observador ""casua..."
2025-03-30," Lc 15,1-3.11-32","«Padre, pequé contra el cielo y ante ti» Hoy, domingo Laetare (“Alegraos”), cuarto de Cuaresma, escuchamos nuevamente es..."
2025-03-31," Jn 4,43-54","«Jesús partió de Samaría para Galilea» Hoy volvemos a encontrar a Jesús en Caná de Galilea, donde había realizado el con..."
